xi, eta, zeta, a, b, c, particle index (in cuboids)
810.875,823.875,6.375,4.125,3.375,4.125,1
804.875,820.875,6.375,1.875,3.375,3.375,1
813.875,828.75,5.25,3.375,1.5,3.75,1
816.875,824.625,6.75,1.875,2.625,3,1
809,819.375,6.375,2.25,1.125,4.125,1
812,824.625,1.5,3,2.625,0.75,1
802.25,820.125,6.375,0.75,2.625,2.625,1
814.25,831,5.25,3,0.75,2.25,1
808.625,823.125,11.25,3.375,1.875,0.75,1
809,828.375,5.625,1.5,1.125,2.625,1
806.375,817.125,6.75,4.125,0.375,2.25,1
812.75,819.75,6,1.5,0.75,3,1
805.625,825,6.375,1.125,0.75,3.375,1
816.875,825.375,3,1.875,1.875,0.75,1
819.5,825.375,5.625,0.75,1.875,1.875,1
818,828.375,5.25,0.75,1.125,3,1
816.125,820.875,6.375,1.125,1.125,1.875,1
807.125,822.375,1.875,1.875,3.375,0.375,1
809,817.875,6.375,2.25,0.375,2.625,1
805.25,820.875,10.125,1.5,3.375,0.375,1
813.875,828,9.75,3.375,0.75,0.75,1
807.125,820.125,10.875,4.125,1.125,0.375,1
805.25,816.375,7.5,3,0.375,1.5,1
805.25,820.875,2.625,1.5,2.625,0.375,1
811.25,826.125,10.875,3,1.125,0.375,1
816.5,825,10.125,1.5,2.25,0.375,1
813.5,828.375,1.125,3,1.125,0.375,1
809.75,830.25,5.25,0.75,0.75,2.25,1
814.625,832.125,5.625,1.125,0.375,2.625,1
801.125,819.75,6.375,0.375,1.5,1.875,1
807.125,822,12.375,1.875,1.5,0.375,1
812.375,818.625,6,1.125,0.375,2.25,1
806.75,820.5,11.625,3,0.75,0.375,1
802.25,821.25,9.75,0.75,1.5,0.75,1
813.5,823.5,10.875,1.5,1.5,0.375,1
806.375,826.5,6.75,0.375,0.75,3,1
815.75,825.75,1.5,0.75,1.5,0.75,1
819.125,825,8.25,0.375,3,0.75,1
814.25,830.625,2.25,3,0.375,0.75,1
813.875,829.5,9.375,2.625,0.75,0.375,1
814.625,830.625,8.25,2.625,0.375,0.75,1
817.625,830.25,4.875,0.375,0.75,2.625,1
804.875,815.625,6.75,1.125,0.375,1.5,1
814.625,819.75,6,0.375,0.75,2.25,1
810.5,820.875,1.875,1.5,1.125,0.375,1
818,821.625,6.75,0.75,0.375,2.25,1
814.25,826.125,0.375,1.5,1.125,0.375,1
807.125,828,5.25,0.375,0.75,2.25,1
809.375,828,9,1.125,0.75,0.75,1
